id,slug,name,product_image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description,created_at,Category_id
21,Hero Passion Pro 110,Hero Passion Pro 110,Individual,1st owner,39000,132680,15000,15000,0,,,Hero Passion Pro 110,Hero Passion Pro 110,,,
22,Honda Navi [2016-2017],Honda Navi [2016-2017],Individual,1st owner,60000,,26000,26000,0,,New,Honda Navi [2016-2017],Honda Navi [2016-2017],,,
23,Honda Activa i,Honda Activa i,Individual,1st owner,17450,44389,32000,32000,0,,,Honda Activa i,Honda Activa i,,,
24,Jawa Standard,Jawa Standard,Individual,2nd owner,20696,53900,180000,180000,0,,,Jawa Standard,Jawa Standard,,,
25,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,2000,,110000,110000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
26,Honda Dream Yuga,Honda Dream Yuga,Individual,1st owner,20000,,25000,25000,0,,,Honda Dream Yuga,Honda Dream Yuga,,,
27,TVS Apache RTR 160 4V,TVS Apache RTR 160 4V,Individual,1st owner,35000,56147,80000,80000,0,,,TVS Apache RTR 160 4V,TVS Apache RTR 160 4V,,,
28,Honda Navi [2016-2017],Honda Navi [2016-2017],Individual,1st owner,15210,,42000,42000,0,,,Honda Navi [2016-2017],Honda Navi [2016-2017],,,
29,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],Individual,1st owner,24000,44389,40000,40000,0,,,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],,,
30,Hero Honda Splendor NXG,Hero Honda Splendor NXG,Individual,3rd owner,35000,84751,21000,21000,0,,New,Hero Honda Splendor NXG,Hero Honda Splendor NXG,,,
31,Hero Glamour 125,Hero Glamour 125,Individual,1st owner,10000,,55000,55000,0,,,Hero Glamour 125,Hero Glamour 125,,,
32,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],Individual,1st owner,2500,61600,38000,38000,0,,,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],,,
33,Hero Xtreme Sports,Hero Xtreme Sports,Individual,1st owner,75000,79432,43000,43000,0,,,Hero Xtreme Sports,Hero Xtreme Sports,,,
34,Honda X-Blade,Honda X-Blade,Individual,2nd owner,50000,78350,65000,65000,0,,,Honda X-Blade,Honda X-Blade,,,
35,Honda CB Shine SP,Honda CB Shine SP,Individual,1st owner,27000,,62000,62000,0,,New,Honda CB Shine SP,Honda CB Shine SP,,,
36,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,10000,71049,60000,60000,0,,,Honda Activa 5G,Honda Activa 5G,,,
37,Hero Glamour 125,Hero Glamour 125,Individual,1st owner,6502,57557,45000,45000,0,,,Hero Glamour 125,Hero Glamour 125,,,
38,Honda CBR-250R,Honda CBR-250R,Individual,1st owner,21000,61600,120000,120000,0,,,Honda CBR-250R,Honda CBR-250R,,,
39,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],Individual,1st owner,16000,202310,30000,30000,0,,,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],,,
40,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,42000,,90000,90000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
41,Bajaj Dominar 400,Bajaj Dominar 400,Individual,3rd owner,13000,,125000,125000,0,,,Bajaj Dominar 400,Bajaj Dominar 400,,,
42,Hero Glamour FI,Hero Glamour FI,Individual,1st owner,12800,,50000,50000,0,,,Hero Glamour FI,Hero Glamour FI,,,
43,KTM 390 Duke,KTM 390 Duke,Individual,1st owner,20000,71150,175000,175000,0,,New,KTM 390 Duke,KTM 390 Duke,,,
44,Hero Passion XPro,Hero Passion XPro,Individual,1st owner,4600,,28000,28000,0,,,Hero Passion XPro,Hero Passion XPro,,,
45,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,81000,56750,85000,85000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
46,Hero Achiever 150,Hero Achiever 150,Individual,1st owner,8000,84042,29900,29900,0,,,Hero Achiever 150,Hero Achiever 150,,,
47,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,55000,69750,25000,25000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
48,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,57000,60122,30000,30000,0,,,Yamaha FZ16,Yamaha FZ16,,,
49,Yamaha Saluto,Yamaha Saluto,Individual,2nd owner,26000,78712,60000,60000,0,,,Yamaha Saluto,Yamaha Saluto,,,
50,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,13000,59844,35000,35000,0,,,Yamaha FZ16,Yamaha FZ16,,,
51,Bajaj Discover 100,Bajaj Discover 100,Individual,2nd owner,29000,78712,25000,25000,0,,,Bajaj Discover 100,Bajaj Discover 100,,,
52,Honda CB Trigger,Honda CB Trigger,Individual,1st owner,43000,42859,30000,30000,0,,,Honda CB Trigger,Honda CB Trigger,,,
53,Royal Enfield Electra 5 S,Royal Enfield Electra 5 S,Individual,1st owner,40000,73413,90000,90000,0,,,Royal Enfield Electra 5 S,Royal Enfield Electra 5 S,,,
54,Hero Splendor PRO,Hero Splendor PRO,Individual,2nd owner,40000,,35000,35000,0,,,Hero Splendor PRO,Hero Splendor PRO,,,
55,Honda Activa 5G,Honda Activa 5G,Individual,2nd owner,24000,49900,70000,70000,0,,,Honda Activa 5G,Honda Activa 5G,,,
56,Hero Honda Passion Plus,Hero Honda Passion Plus,Individual,1st owner,3000,59422,25000,25000,0,,,Hero Honda Passion Plus,Hero Honda Passion Plus,,,
57,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,75000,,25000,25000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
58,Royal Enfield Bullet 350,Royal Enfield Bullet 350,Individual,1st owner,42000,,90000,90000,0,,,Royal Enfield Bullet 350,Royal Enfield Bullet 350,,,
59,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,13000,,25000,25000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
60,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Individual,1st owner,55000,57549,42000,42000,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
61,Hero Splendor PRO,Hero Splendor PRO,Individual,1st owner,23000,,35000,35000,0,,,Hero Splendor PRO,Hero Splendor PRO,,,
62,Hero Xtreme Sports,Hero Xtreme Sports,Individual,2nd owner,24000,51994,50000,50000,0,,,Hero Xtreme Sports,Hero Xtreme Sports,,,
63,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,80000,80350,30000,30000,0,,,Honda Activa 3G,Honda Activa 3G,,,
64,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,39000,54605,48000,48000,0,,,Yamaha FZ16,Yamaha FZ16,,,
65,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,20000,78712,65000,65000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
66,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,30000,88161,85000,85000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
67,Hero Hunk,Hero Hunk,Individual,1st owner,21000,,45000,45000,0,,,Hero Hunk,Hero Hunk,,,
68,Suzuki Let''s,Suzuki Let''s,Individual,1st owner,41000,78513,34000,34000,0,,,Suzuki Let''s,Suzuki Let''s,,,
69,Royal Enfield Electra 4 S,Royal Enfield Electra 4 S,Individual,1st owner,8000,50098,90000,90000,0,,,Royal Enfield Electra 4 S,Royal Enfield Electra 4 S,,,
70,TVS Scooty Pep Plus,TVS Scooty Pep Plus,Individual,1st owner,50000,,35000,35000,0,,,TVS Scooty Pep Plus,TVS Scooty Pep Plus,,,
71,Mahindra Mojo XT300,Mahindra Mojo XT300,Individual,1st owner,8150,,165000,165000,0,,,Mahindra Mojo XT300,Mahindra Mojo XT300,,,
72,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,1933,195500,35000,35000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
73,Bajaj Pulsar AS200,Bajaj Pulsar AS200,Individual,1st owner,55750,,65000,65000,0,,,Bajaj Pulsar AS200,Bajaj Pulsar AS200,,,
74,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,15856,92074,29500,29500,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
75,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,1st owner,27000,,165000,165000,0,,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
76,Suzuki Intruder 150,Suzuki Intruder 150,Individual,1st owner,3700,164004,95000,95000,0,,,Suzuki Intruder 150,Suzuki Intruder 150,,,
77,Hero Honda Karizma ZMR [2010],Hero Honda Karizma ZMR [2010],Individual,1st owner,21938,,50000,50000,0,,,Hero Honda Karizma ZMR [2010],Hero Honda Karizma ZMR [2010],,,
78,Honda Dio,Honda Dio,Individual,1st owner,48000,,7500,7500,0,,,Honda Dio,Honda Dio,,,
79,Bajaj Xcd,Bajaj Xcd,Individual,2nd owner,16000,,25000,25000,0,,,Bajaj Xcd,Bajaj Xcd,,,
80,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,54000,,35000,35000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
81,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,2nd owner,35000,,160000,160000,0,1,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
82,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,15000,,50000,50000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
83,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,32000,74295,62000,62000,0,,,Honda Activa 5G,Honda Activa 5G,,,
84,Honda CB Twister,Honda CB Twister,Individual,1st owner,3500,57557,30000,30000,0,1,,Honda CB Twister,Honda CB Twister,,,
85,Hero Splendor PRO,Hero Splendor PRO,Individual,1st owner,9000,53857,28000,28000,0,,,Hero Splendor PRO,Hero Splendor PRO,,,
86,Hero Honda CD Deluxe,Hero Honda CD Deluxe,Individual,1st owner,38000,49642,25000,25000,0,,,Hero Honda CD Deluxe,Hero Honda CD Deluxe,,,
87,Honda Activa i [2016-2017],Honda Activa i [2016-2017],Individual,1st owner,50000,,30000,30000,0,,,Honda Activa i [2016-2017],Honda Activa i [2016-2017],,,
88,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,Individual,2nd owner,20000,51112,140000,140000,0,1,,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,,,
89,TVS Scooty Zest 110,TVS Scooty Zest 110,Individual,1st owner,22000,148114,30000,30000,0,,,TVS Scooty Zest 110,TVS Scooty Zest 110,,,
90,Hero CD Deluxe,Hero CD Deluxe,Individual,1st owner,9432,53751,25000,25000,0,,,Hero CD Deluxe,Hero CD Deluxe,,,
91,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],Individual,1st owner,70000,,22000,22000,0,1,,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],,,
92,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,2nd owner,43000,58314,22989,22989,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
93,Honda Activa 125 [2016-2017],Honda Activa 125 [2016-2017],Individual,1st owner,500000,50267,42000,42000,0,,,Honda Activa 125 [2016-2017],Honda Activa 125 [2016-2017],,,
94,Suzuki GS150R,Suzuki GS150R,Individual,1st owner,30514,61653,30000,30000,0,1,,Suzuki GS150R,Suzuki GS150R,,,
95,Bajaj Pulsar 220S,Bajaj Pulsar 220S,Individual,1st owner,130000,70851,55000,55000,0,,,Bajaj Pulsar 220S,Bajaj Pulsar 220S,,,
96,Honda Activa 4G,Honda Activa 4G,Individual,1st owner,45000,,45000,45000,0,,,Honda Activa 4G,Honda Activa 4G,,,
97,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,25000,53079,150000,150000,0,,,Yamaha FZ25,Yamaha FZ25,,,
98,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,2500,133680,42000,42000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
99,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,22770,,30000,30000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
100,Bajaj Discover 100,Bajaj Discover 100,Individual,1st owner,30000,,24999,24999,0,,,Bajaj Discover 100,Bajaj Discover 100,,,
101,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,2nd owner,35000,42859,160000,160000,0,,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
102,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,6330,,175000,175000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
103,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,500,,40000,40000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
104,Bajaj Pulsar NS160,Bajaj Pulsar NS160,Individual,1st owner,43400,,85000,85000,0,,,Bajaj Pulsar NS160,Bajaj Pulsar NS160,,,
105,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,Individual,1st owner,7004,,150000,150000,0,,,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,,,
106,Suzuki Gixxer SF,Suzuki Gixxer SF,Individual,1st owner,16500,181445,80000,80000,0,,,Suzuki Gixxer SF,Suzuki Gixxer SF,,,
107,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,Individual,1st owner,12500,,95000,95000,0,,,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,,,
108,Bajaj V15,Bajaj V15,Individual,1st owner,9600,,42000,42000,0,,,Bajaj V15,Bajaj V15,,,
109,TVS XL 100 Heavy Duty,TVS XL 100 Heavy Duty,Individual,1st owner,35000,65626,40000,40000,0,,,TVS XL 100 Heavy Duty,TVS XL 100 Heavy Duty,,,
110,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,11000,,50000,50000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
111,Hero HF Deluxe,Hero HF Deluxe,Individual,1st owner,20000,84042,40000,40000,0,,,Hero HF Deluxe,Hero HF Deluxe,,,
112,Aprilia SR 125,Aprilia SR 125,Individual,1st owner,13000,,75000,75000,0,,,Aprilia SR 125,Aprilia SR 125,,,
113,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,3500,,120000,120000,0,,,Yamaha FZ25,Yamaha FZ25,,,
114,Hero Honda Glamour,Hero Honda Glamour,Individual,1st owner,9000,132680,30000,30000,0,,,Hero Honda Glamour,Hero Honda Glamour,,,
115,Bajaj Discover 125 ST,Bajaj Discover 125 ST,Individual,1st owner,7500,,17500,17500,0,,,Bajaj Discover 125 ST,Bajaj Discover 125 ST,,,
116,Hero Honda Passion Plus,Hero Honda Passion Plus,Individual,1st owner,38000,58438,7500,7500,0,,,Hero Honda Passion Plus,Hero Honda Passion Plus,,,
117,Honda Aviator,Honda Aviator,Individual,1st owner,120000,,57000,57000,0,,,Honda Aviator,Honda Aviator,,,
118,Vespa SXL 149,Vespa SXL 149,Individual,1st owner,6465,61118,80000,80000,0,,,Vespa SXL 149,Vespa SXL 149,,,
119,TVS Scooty Pep Plus,TVS Scooty Pep Plus,Individual,1st owner,18803,,18000,18000,0,,,TVS Scooty Pep Plus,TVS Scooty Pep Plus,,,
120,Hero Xtreme [2013-2014],Hero Xtreme [2013-2014],Individual,1st owner,20000,,25000,25000,0,,,Hero Xtreme [2013-2014],Hero Xtreme [2013-2014],,,
121,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,24000,75936,83900,83900,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
122,UM Renegade Commando,UM Renegade Commando,Individual,2nd owner,22000,,160000,160000,0,,,UM Renegade Commando,UM Renegade Commando,,,
123,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,Individual,1st owner,7000,180525,135000,135000,0,,,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,,,
124,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,6100,148114,55000,55000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
125,Honda Shine,Honda Shine,Individual,1st owner,14000,87543,50000,50000,0,,,Honda Shine,Honda Shine,,,
126,Bajaj Discover 100,Bajaj Discover 100,Individual,1st owner,23000,,20000,20000,0,,,Bajaj Discover 100,Bajaj Discover 100,,,
127,Hero Honda CBZ extreme,Hero Honda CBZ extreme,Individual,1st owner,85000,42859,25000,25000,0,,,Hero Honda CBZ extreme,Hero Honda CBZ extreme,,,
128,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,40000,,125000,125000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
129,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,18000,,55000,55000,0,,,Honda Activa 5G,Honda Activa 5G,,,
130,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,10000,57557,50000,50000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
131,Royal Enfield Continental GT 650,Royal Enfield Continental GT 650,Individual,1st owner,40000,80435,299000,299000,0,,,Royal Enfield Continental GT 650,Royal Enfield Continental GT 650,,,
132,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,1500,,60000,60000,0,,,Honda Activa 3G,Honda Activa 3G,,,
133,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,30000,54605,40000,40000,0,,,Honda Activa 3G,Honda Activa 3G,,,
134,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,3000,54605,15000,15000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
135,Harley-Davidson Street Bob,Harley-Davidson Street Bob,Individual,1st owner,55000,85011,750000,750000,0,,,Harley-Davidson Street Bob,Harley-Davidson Street Bob,,,
136,Hero Honda CBZ extreme,Hero Honda CBZ extreme,Individual,2nd owner,12000,1278000,20000,20000,0,,,Hero Honda CBZ extreme,Hero Honda CBZ extreme,,,
137,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,Individual,1st owner,90000,,190000,190000,0,,,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,,,
138,KTM 390 Duke ABS [2013-2016],KTM 390 Duke ABS [2013-2016],Individual,1st owner,500,155740,130000,130000,0,,,KTM 390 Duke ABS [2013-2016],KTM 390 Duke ABS [2013-2016],,,
139,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,50000,202127,54786,54786,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
140,KTM 200 Duke,KTM 200 Duke,Individual,1st owner,25000,88161,72000,72000,0,,,KTM 200 Duke,KTM 200 Duke,,,
141,Hero Karizma 2014,Hero Karizma 2014,Individual,1st owner,36500,,35000,35000,0,,,Hero Karizma 2014,Hero Karizma 2014,,,
142,Hero Glamour 125,Hero Glamour 125,Individual,1st owner,26000,86744,45000,45000,0,,,Hero Glamour 125,Hero Glamour 125,,,
143,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,18000,61600,85000,85000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
144,Royal Enfield Classic 500,Royal Enfield Classic 500,Individual,1st owner,49000,,100000,100000,0,,,Royal Enfield Classic 500,Royal Enfield Classic 500,,,
145,Bajaj Dominar 400,Bajaj Dominar 400,Individual,1st owner,18000,156304,138000,138000,0,,,Bajaj Dominar 400,Bajaj Dominar 400,,,
146,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,1st owner,15000,,150000,150000,0,,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
147,KTM RC 390,KTM RC 390,Individual,1st owner,8500,,180000,180000,0,,,KTM RC 390,KTM RC 390,,,
148,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,3775,,100000,100000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
149,Hero Hunk,Hero Hunk,Individual,1st owner,14500,,20000,20000,0,,,Hero Hunk,Hero Hunk,,,
150,KTM 390 Duke,KTM 390 Duke,Individual,1st owner,35000,78513,170000,170000,0,,,KTM 390 Duke,KTM 390 Duke,,,
151,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],Individual,1st owner,14000,,60000,60000,0,,,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],,,
152,Royal Enfield Bullet 350,Royal Enfield Bullet 350,Individual,1st owner,16000,84246,123000,123000,0,,,Royal Enfield Bullet 350,Royal Enfield Bullet 350,,,
153,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,7000,,60000,60000,0,,,Suzuki Access 125,Suzuki Access 125,,,
154,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,Individual,1st owner,4000,,100000,100000,0,,,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,,,
155,Hero Xtreme Sports,Hero Xtreme Sports,Individual,1st owner,45000,,22000,22000,0,,,Hero Xtreme Sports,Hero Xtreme Sports,,,
156,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,99000,78350,30000,30000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
157,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,52000,50267,28000,28000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
158,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,45000,60122,50000,50000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
159,Yamaha Saluto RX,Yamaha Saluto RX,Individual,1st owner,52000,,40000,40000,0,,,Yamaha Saluto RX,Yamaha Saluto RX,,,
160,Hero HF Deluxe,Hero HF Deluxe,Individual,1st owner,27000,49521,43000,43000,0,,,Hero HF Deluxe,Hero HF Deluxe,,,
161,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,60000,,40000,40000,0,,,Suzuki Access 125,Suzuki Access 125,,,
162,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,Individual,1st owner,2300,,100000,100000,0,,,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,,,
163,Hero HF Deluxe,Hero HF Deluxe,Individual,1st owner,15000,181445,30000,30000,0,,,Hero HF Deluxe,Hero HF Deluxe,,,
164,KTM RC 200,KTM RC 200,Individual,1st owner,50000,,130000,130000,0,,,KTM RC 200,KTM RC 200,,,
165,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,27000,,48000,48000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
166,Bajaj CT 100,Bajaj CT 100,Individual,2nd owner,25000,88161,32000,32000,0,,,Bajaj CT 100,Bajaj CT 100,,,
167,Hero Honda Pleasure,Hero Honda Pleasure,Individual,1st owner,40000,,23000,23000,0,,,Hero Honda Pleasure,Hero Honda Pleasure,,,
168,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,1st owner,32000,,20000,20000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
169,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,2nd owner,50000,64589,125000,125000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
170,Honda Navi [2016-2017],Honda Navi [2016-2017],Individual,1st owner,36000,,23000,23000,0,,,Honda Navi [2016-2017],Honda Navi [2016-2017],,,
171,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,17450,44389,15000,15000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
